component_type,component_id,version,relationship,scope,owner,upstream_publisher,source,purpose,declared_license,license_evidence,proposed_license_conclusion,proposed_installation_rights,proposed_redistribution_rights,distribution_plan,integrity_algorithm,integrity_value,provenance_reference,limitations
"nuget","Microsoft.TestPlatform.ObjectModel","17.14.1","transitive","test-only","Principal Software Architect","Microsoft","https://api.nuget.org/v3-flatcontainer/microsoft.testplatform.objectmodel/17.14.1/microsoft.testplatform.objectmodel.17.14.1.nupkg","Provide the test platform object model transitively","MIT","https://www.nuget.org/packages/Microsoft.TestPlatform.ObjectModel/17.14.1","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","xTP1W6Mi6SWmuxd3a+jj9G9UoC850WGwZUps1Wah9r1ZxgXhdJfj1QqDLJkFjHDCvN42qDL2Ps5KjQYWUU0zcQ==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/microsoft.testplatform.objectmodel/17.14.1.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","Microsoft.TestPlatform.TestHost","17.14.1","transitive","test-only","Principal Software Architect","Microsoft","https://api.nuget.org/v3-flatcontainer/microsoft.testplatform.testhost/17.14.1/microsoft.testplatform.testhost.17.14.1.nupkg","Host .NET test execution transitively","MIT","https://www.nuget.org/packages/Microsoft.TestPlatform.TestHost/17.14.1","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","d78LPzGKkJwsJXAQwsbJJ7LE7D1wB+rAyhHHAaODF+RDSQ0NgMjDFkSA1Djw18VrxO76GlKAjRUhl+H8NL8Z+Q==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/microsoft.testplatform.testhost/17.14.1.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","Newtonsoft.Json","13.0.3","transitive","test-only","Principal Software Architect","James Newton-King","https://api.nuget.org/v3-flatcontainer/newtonsoft.json/13.0.3/newtonsoft.json.13.0.3.nupkg","Provide JSON support used transitively by the test platform","MIT","https://www.nuget.org/packages/Newtonsoft.Json/13.0.3","Proposed MIT","Proposed allowed for test use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","nuget-content-sha512","HrC5BXdl00IP9zeV+0Z848QWPAoCr9P3bDEZguI+gkLcBKAOxix/tLEAAHC+UvDNPv4a2d18lOReHMOagPa+zQ==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/newtonsoft.json/13.0.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit","2.9.3","direct","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit/2.9.3/xunit.2.9.3.nupkg","Provide the xUnit.net test-framework metapackage","Apache-2.0","https://www.nuget.org/packages/xunit/2.9.3","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","TlXQBinK35LpOPKHAqbLY4xlEen9TBafjs0V5KnA4wZsoQLQJiirCR4CbIXvOH8NzkW4YeJKP5P/Bnrodm0h9Q==","Directory.Packages.props; tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit/2.9.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.abstractions","2.0.3","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.abstractions/2.0.3/xunit.abstractions.2.0.3.nupkg","Provide shared xUnit.net abstractions transitively","Apache-2.0 via legacy licenseUrl","https://raw.githubusercontent.com/xunit/xunit/master/license.txt","Proposed Apache-2.0 based on legacy upstream evidence; immutable evidence must be resolved before approval","Proposed allowed for test use under apparent Apache-2.0 terms only after immutable evidence is resolved","Proposed withheld until immutable Apache-2.0 evidence is recorded and reviewed","not-shipped","nuget-content-sha512","pot1I4YOxlWjIb5jmwvvQNbTrZ3lJQ+jUGkGjWE3hEFM0l5gOnBWS+H3qsex68s5cO52g+44vpGzhAt+42vwKg==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.abstractions/2.0.3.json","The package exposes a mutable master-branch licenseUrl instead of a license expression or immutable license artifact; this must remain unresolved until a human reviews frozen evidence. NuGet contentHash is not an independently computed .nupkg file hash."
"nuget","xunit.analyzers","1.18.0","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.analyzers/1.18.0/xunit.analyzers.1.18.0.nupkg","Analyze xUnit.net test code transitively","Apache-2.0","https://www.nuget.org/packages/xunit.analyzers/1.18.0","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","OtFMHN8yqIcYP9wcVIgJrq01AfTxijjAqVDy/WeQVSyrDC1RzBWeQPztL49DN2syXRah8TYnfvk035s7L95EZQ==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.analyzers/1.18.0.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.assert","2.9.3","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.assert/2.9.3/xunit.assert.2.9.3.nupkg","Provide xUnit.net assertions transitively","Apache-2.0","https://www.nuget.org/packages/xunit.assert/2.9.3","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","/Kq28fCE7MjOV42YLVRAJzRF0WmEqsmflm0cfpMjGtzQ2lR5mYVj1/i0Y8uDAOLczkL3/jArrwehfMD0YogMAA==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.assert/2.9.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.core","2.9.3","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.core/2.9.3/xunit.core.2.9.3.nupkg","Provide the xUnit.net core metapackage transitively","Apache-2.0","https://www.nuget.org/packages/xunit.core/2.9.3","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","BiAEvqGvyme19wE0wTKdADH+NloYqikiU0mcnmiNyXaF9HyHmE6sr/3DC5vnBkgsWaE6yPyWszKSPSApWdRVeQ==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.core/2.9.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.extensibility.core","2.9.3","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.extensibility.core/2.9.3/xunit.extensibility.core.2.9.3.nupkg","Provide xUnit.net extensibility primitives transitively","Apache-2.0","https://www.nuget.org/packages/xunit.extensibility.core/2.9.3","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","kf3si0YTn2a8J8eZNb+zFpwfoyvIrQ7ivNk5ZYA5yuYk1bEtMe4DxJ2CF/qsRgmEnDr7MnW1mxylBaHTZ4qErA==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.extensibility.core/2.9.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.extensibility.execution","2.9.3","transitive","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.extensibility.execution/2.9.3/xunit.extensibility.execution.2.9.3.nupkg","Provide xUnit.net execution extensibility transitively","Apache-2.0","https://www.nuget.org/packages/xunit.extensibility.execution/2.9.3","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","yMb6vMESlSrE3Wfj7V6cjQ3S4TXdXpRqYeNEI3zsX31uTsGMJjEw6oD5F5u1cHnMptjhEECnmZSsPxB6ChZHDQ==","tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.extensibility.execution/2.9.3.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"nuget","xunit.runner.visualstudio","3.1.4","direct","test-only","Principal Software Architect","xUnit.net project","https://api.nuget.org/v3-flatcontainer/xunit.runner.visualstudio/3.1.4/xunit.runner.visualstudio.3.1.4.nupkg","Adapt xUnit.net tests to the Visual Studio and VSTest platform","Apache-2.0","https://www.nuget.org/packages/xunit.runner.visualstudio/3.1.4","Proposed Apache-2.0","Proposed allowed for test use under Apache-2.0","Proposed allowed with the Apache-2.0 license and required notices","not-shipped","nuget-content-sha512","5mj99LvCqrq3CNi06xYdyIAXOEh+5b33F2nErCzI5zWiDdLHXiPXEWFSUAF8zlIv0ZWqjZNCwHTQeAPYbF3pCg==","Directory.Packages.props; tests/*/packages.lock.json; https://api.nuget.org/v3/registration5-semver1/xunit.runner.visualstudio/3.1.4.json","NuGet contentHash is locked restore metadata and is not an independently computed .nupkg file hash."
"pypi","PyYAML","6.0.3","direct","build-only","Principal Software Architect","PyYAML maintainers","https://files.pythonhosted.org/packages/23/20/bb6982b26a40bb43951265ba29d4c246ef0ff59c9fdcdf0ed04e0687de4d/pyyaml-6.0.3-cp314-cp314-win_amd64.whl","Parse governed YAML in repository validators","MIT","https://pypi.org/project/PyYAML/6.0.3/","Proposed MIT","Proposed allowed for build and validation use under MIT","Proposed allowed with the MIT copyright and permission notice","not-shipped","sha256","4a2e8cebe2ff6ab7d1050ecd59c25d4c8bd7e6f400f5f82b96557ac0abafd0ac","tools/requirements.txt; https://pypi.org/pypi/PyYAML/6.0.3/json","Hash covers only the CPython 3.14 Windows x64 wheel; other distributions and platforms are not admitted by this row."
"toolchain",".NET SDK","10.0.400","toolchain","build-only","Principal Software Architect","Microsoft and .NET Foundation contributors","https://dotnet.microsoft.com/download/dotnet/10.0","Build restore test and package the .NET solution","MIT plus bundled component terms and notices","https://github.com/dotnet/sdk/blob/v10.0.400/LICENSE.TXT; https://github.com/dotnet/sdk/blob/v10.0.400/THIRD-PARTY-NOTICES.TXT","Proposed acceptable for development under the SDK license and applicable component terms","Proposed allowed for local build use under the reviewed SDK and component terms","Proposed withheld by project policy until exact installer provenance hash and complete distribution notices are recorded and reviewed","not-shipped","version-pin","global.json#sdk.version","global.json; https://github.com/dotnet/sdk/tree/v10.0.400","The exact Windows x64 installer hash and complete binary distribution notices are not recorded; redistribution is outside the current plan and must fail closed until resolved."
"toolchain","CPython","3.14.7","toolchain","build-only","Principal Software Architect","Python Software Foundation","https://www.python.org/downloads/release/python-3147/","Run governed repository validators and SBOM generation","PSF License Version 2 plus bundled component licenses","https://github.com/python/cpython/blob/v3.14.7/LICENSE","Proposed acceptable for development under the PSF License Version 2 and applicable bundled terms","Proposed allowed for local build use under the reviewed Python and bundled component terms","Proposed withheld by project policy until exact installer provenance hash and complete distribution notices are recorded and reviewed","not-shipped","version-pin",".github/workflows/verify.yml#python-version","README.md; eng/verify.ps1; .github/workflows/verify.yml; https://github.com/python/cpython/tree/v3.14.7","The exact Windows x64 installer hash and complete binary distribution notices are not recorded; redistribution is outside the current plan and must fail closed until resolved."
